Magnitude	Region
2.2	Southern Alaska
1.6	Southern California
1.4	Northern California
1.3	Central Alaska
2.3	Puerto Rico region
1.3	Seattle-Tacoma urban area, Washington
1.3	Northern California
2.3	Portland urban area, Oregon
4.8	offshore Guatemala
1.7	Southern California
1	Nevada
1	Central California
1.8	Southern California
2.4	offshore Baja California, Mexico
3	Dominican Republic region
2	Island of Hawaii, Hawaii
3.3	Southern Alaska
1.7	Central California
1.2	Southern California
1.5	Mount St. Helens area, Washington
1.1	Greater Los Angeles area, California
5.3	near the east coast of Honshu, Japan
2.1	Northern California
1.2	Southern California
1.6	Southern Alaska
1.2	Southern California
1.1	Washington
1.6	Southern California
1.7	Southern Alaska
5.3	Pacific-Antarctic Ridge
4.3	northern Peru
1.1	Mount St. Helens area, Washington
1.6	Central California
3.1	Virgin Islands region
2	Mount St. Helens area, Washington
1.8	Central Alaska
1.2	Long Valley area, California
2.7	Southern California
1.7	Southern California
4.9	northwestern Iran
2.1	Northern California
1.1	Northern California
4.4	offshore Guatemala
1.6	Central Alaska
1.5	Southern California
1.8	Southern California
2.2	Central Alaska
1.6	Southern California
2.3	Baja California, Mexico
1.3	Southern California
1.9	Central Alaska
1.2	Northern California
1.7	Northern California
1.6	Nevada
5.1	Antofagasta, Chile
1.8	Northern California
4.7	near the coast of central Peru
4.4	south of the Fiji Islands
2.1	British Columbia, Canada
1	Southern California
1.7	Central Alaska
1.3	Oregon
4.8	Tonga
4.7	Sulawesi, Indonesia
2.2	Island of Hawaii, Hawaii
4.7	Tonga
2.7	Baja California, Mexico
1.4	Greater Los Angeles area, California
2.4	Northern California
4.8	offshore Valparaiso, Chile
1.6	Central Alaska
1	Central California
2.5	Central California
1.8	Northern California
1	Northern California
2	Northern California
1.2	San Francisco Bay, California
1.2	Central California
1.6	Southern California
2.2	Kodiak Island region, Alaska
2.1	Southern California
1.5	Oregon
1.3	Central Alaska
1.7	Southern California
1	Northern California
1.5	Nevada
1.9	Central Alaska
2.1	Central Alaska
1.1	Nevada
4.8	Bismarck Sea
2.5	western Montana
2.1	Central Alaska
1.8	Southern Alaska
1.6	Northern California
1.8	Southern California
1	Central California
4.8	south of the Fiji Islands
1.2	Southern California
1	Greater Los Angeles area, California
2.7	Puerto Rico region
1.5	San Francisco Bay area, California
1.1	Northern California
1	Kenai Peninsula, Alaska
1.2	Northern California
1.4	Central California
2.6	Southern Alaska
1.9	Kodiak Island region, Alaska
1.1	Central California
1.3	Northern California
1.1	Northern California
3.7	Gulf of Alaska
1.6	Southern Alaska
2	Central California
1.1	Central California
5.6	Near Islands, Aleutian Islands, Alaska
1.1	Southern California
2.8	Kodiak Island region, Alaska
4.3	offshore Chiapas, Mexico
2.1	Central Alaska
1	Southern California
2.8	Kenai Peninsula, Alaska
1.1	Long Valley area, California
6	Guerrero, Mexico
1.1	Long Valley area, California
1.3	Long Valley area, California
1.1	Central California
1	Southern California
5.7	Bismarck Sea
4.8	offshore Guatemala
1.1	Southern Alaska
1	Long Valley area, California
1.6	Southern California
2.7	Alaska Peninsula
1	Central California
2.3	Southern California
1	San Francisco Bay area, California
4.9	offshore Guatemala
1.7	Northern California
1.5	Long Valley area, California
4.9	Maug Islands region, Northern Mariana Islands
1.2	Central California
2	Southern California
2	San Francisco Bay area, California
2.3	Puerto Rico region
1.8	Southern Alaska
1.6	Northern California
1.6	Strait of Juan de Fuca, Washington
1.4	Southern California
2.5	Southern Alaska
1.1	Greater Los Angeles area, California
1.5	Washington
1.1	Central California
1.4	Yellowstone National Park, Wyoming
2.4	Central Alaska
1.9	Northern California
1.2	Washington
2.2	Central California
